subject,cond,roi,chi_sp,chi_sp_r2
P28,INHIB,cacc,1.0885875063212591,
P28,INHIB,frontal,0.8835863195064617,
P28,INHIB,lh,1.0617601536486148,
P28,INHIB,rh,0.6360937092451271,
P28,INIT,cacc,0.9210483499038984,
P28,INIT,frontal,1.0871052625962239,
P28,INIT,lh,0.7756823798974244,
P28,INIT,rh,0.355653038214868,
P29,INHIB,cacc,0.7424721497340586,
P29,INHIB,frontal,0.7090965527123727,
P29,INHIB,lh,0.1551738357329493,
P29,INHIB,rh,0.5438137960795992,
P29,INIT,cacc,0.7124867080261295,
P29,INIT,frontal,1.4262343406658804,
P29,INIT,lh,0.500900474795887,
P29,INIT,rh,0.595362964293258,
P3,INHIB,cacc,1.0724855771817678,
P3,INHIB,frontal,0.2704433925354117,
P3,INHIB,lh,0.21007387897674462,
P3,INHIB,rh,0.5516844617818045,
P3,INIT,cacc,0.4503146792864248,
P3,INIT,frontal,1.5526819541101964,
P3,INIT,lh,0.626141857540487,
P3,INIT,rh,0.17248630398162898,
P30,INHIB,cacc,1.3101250755034577,
P30,INHIB,frontal,0.8299101317272807,
P30,INHIB,lh,1.271481617836977,
P30,INHIB,rh,0.8843311889294287,
P30,INIT,cacc,1.377985478049716,
P30,INIT,frontal,1.097509074920708,
P30,INIT,lh,0.9340921261926654,
P30,INIT,rh,1.019106126192757,
P31,INHIB,cacc,0.9848690318266443,
P31,INHIB,frontal,1.0634224626887456,
P31,INHIB,lh,1.0950954885342508,
P31,INHIB,rh,1.2264782070925058,
P31,INIT,cacc,0.7642156761059954,
P31,INIT,frontal,0.5419438784760309,
P31,INIT,lh,0.5346543883111868,
P31,INIT,rh,0.48202578191453993,
P32,INHIB,cacc,0.9002991234186727,
P32,INHIB,frontal,0.6445471088837558,
P32,INHIB,lh,0.827992823573033,
P32,INHIB,rh,0.32142029828321794,
P32,INIT,cacc,0.733864612084527,
P32,INIT,frontal,0.7914356723505193,
P32,INIT,lh,0.9044414778285793,
P32,INIT,rh,0.7264078622565947,
P33,INHIB,cacc,0.48926800048162966,
P33,INHIB,frontal,0.5121280999459242,
P33,INHIB,lh,0.4180872847901507,
P33,INHIB,rh,0.8975802883283674,
P33,INIT,cacc,1.0153792449419734,
P33,INIT,frontal,1.6152379868369837,
P33,INIT,lh,0.9890420621712688,
P33,INIT,rh,0.568122718605851,
P34,INHIB,cacc,0.733340827300175,
P34,INHIB,frontal,0.6303536119521814,
P34,INHIB,lh,0.511761144870823,
P34,INHIB,rh,0.4484245732143466,
P34,INIT,cacc,0.5972750448592239,
P34,INIT,frontal,0.9948783853021479,
P34,INIT,lh,0.7075049262880946,
P34,INIT,rh,0.3815283298815032,
P35,INHIB,cacc,0.887256221820016,
P35,INHIB,frontal,0.7725909413344297,
P35,INHIB,lh,0.609829464306636,
P35,INHIB,rh,0.5015604543900867,
P35,INIT,cacc,0.9274606192261123,
P35,INIT,frontal,0.5671135040584572,
P35,INIT,lh,0.5497607746805968,
P35,INIT,rh,0.6322769187435094,
P36,INHIB,cacc,1.0201041463787448,
P36,INHIB,frontal,0.5678519235244852,
P36,INHIB,lh,0.08908758268783948,
P36,INHIB,rh,0.23560865948475446,
P36,INIT,cacc,0.7637047275633264,
P36,INIT,frontal,0.2823995016651044,
P36,INIT,lh,0.132874830051617,
P36,INIT,rh,0.45384941283927727,
P37,INHIB,cacc,0.41544440697183677,
P37,INHIB,frontal,0.8044010308078022,
P37,INHIB,lh,0.3911645168525963,
P37,INHIB,rh,0.6138089351123708,
P37,INIT,cacc,0.5434188891433214,
P37,INIT,frontal,0.8038817984905225,
P37,INIT,lh,0.8407901607430645,
P37,INIT,rh,0.31216990571442543,
