subject,ais_resid,ais_raw,amp_n450,chi_ols,resid_var,chi_sp
P1,0.13573308218075852,0.19807949614218723,8.814600542266805e-06,0.41356002382121293,2.3105849088942307e-11,0.21238739356969782
P10,0.011786124515347995,0.16077225962969743,-4.6159075108877156e-08,0.00472817285029925,3.449899142339928e-12,0.1495689348143706
P11,0.13430865048312857,0.15673333046212246,-1.1313666420253642e-06,0.556393936355773,9.9591286409432e-12,0.527370251351266
P12,-0.0020764393336476505,-0.030601259402967873,9.969948316083877e-07,0.0887014160188464,9.359421383267664e-13,-0.004504055703015486
P13,0.046928875262792324,0.05730633018783737,3.953680940442854e-06,0.13196899764207792,4.369035343449472e-12,0.1407529424544922
P14,0.22109929925442884,0.2385409966379417,-5.091575145028291e-06,0.5924127942428019,-3.5218699749771384e-13,0.25121118881901117
P15,-0.00903459708454113,-0.0684715375631395,5.648549742460985e-07,-0.08034323472249338,1.4177511726209348e-12,0.08693148502389703
P16,0.0688794040857168,0.1342684863881627,-1.592747548925628e-06,0.2848512349247585,1.0184609901048567e-11,0.41602641752612624
P17,0.17912401347740992,0.06319962244076138,2.8303153720168882e-06,0.5180000425576643,8.490708076255008e-12,0.4344922074927098
P18,-0.19608588074452926,-0.0820386353603697,-8.82335860942631e-06,-0.8290672361684015,-4.853765176240921e-12,-0.432405421230744
P2,-0.0029929304890050634,0.010712733163994681,-2.0922412021800244e-06,-0.02713739510046498,6.423919902964751e-13,-0.12365983886870724
P20,0.020065832290588892,0.11813048427226103,6.8548216965513184e-06,0.2635609013639204,3.5955003512052357e-12,0.15534159396545633
P21,0.03268571881487525,0.12592941859210738,4.51291883734461e-06,0.13829901528226918,-8.528430825213235e-13,0.08277235990917142
P22,0.02887400683538588,-0.0018765582519562063,3.2003243372297024e-06,0.14419643178849295,1.048150867163552e-12,0.012027038543352742
P23,-0.06210099880961695,-0.0706705193771926,-3.4033308759997377e-06,-0.25711894263878343,-3.039477662545303e-12,-0.010306415153965354
P24,0.004810353989248339,-0.00417473928697909,2.1408623588770723e-06,-0.033131202044713315,6.605966339665566e-13,-0.23113527321681732
P25,-0.09795742786636807,-0.17027430751242179,9.246239537999629e-07,-0.090226718649421,6.580938669936162e-13,0.1083227758394627
P26,-0.017968666941638234,-0.08877440130420489,1.2954134722948309e-06,-0.4293867238033271,-2.7375515289095167e-15,-0.49785593419270024
P27,0.052223805071210605,0.012413348975493177,-2.3367241426604626e-06,0.04410844584824769,4.178358620274363e-12,0.1913338527249684
P28,-0.01420872267060258,-0.04266081438531533,-5.262011023944788e-07,-0.15236744586662287,3.0799643996859317e-12,0.20351894308976237
P29,0.13597533334186118,0.08392815700454026,-1.2352852827636464e-06,0.37496044690852093,9.974843583963407e-12,0.7171377879535077
P3,0.3604834026033683,0.27125498611762155,3.7051381632143027e-06,0.9062009771630262,1.1724942724311969e-11,1.2822385615747847
P30,0.05343867976531258,0.04349796365018199,5.127875358856906e-06,0.12850707931398264,1.4826807437953157e-12,0.26759894319342725
P31,-0.1577979137178962,-0.1528433523897037,1.0147730905790336e-06,-0.20920978884243213,8.997488353225842e-13,-0.5214785842127148
P32,0.041292633891036434,0.051213996710917975,-5.27716604430472e-07,0.08276469148040733,3.014005309035297e-13,0.1468885634667635
P33,-0.03855874847699703,-0.049454103689785534,2.094969713750844e-06,0.4302426555181311,1.790653165386717e-12,1.1031098868910592
P34,-0.015695637303947296,-0.005387262701740836,2.165839397657454e-06,0.029608508953440804,9.633664025924136e-13,0.3645247733499666
P35,-0.12146365931757752,-0.2223383791146072,-1.3926597608668238e-06,-0.36097015485974826,-5.346588601187225e-12,-0.20547743727597256
P36,0.007114594175888778,-0.031869436294976294,1.1353072842221273e-06,-0.20915446095502233,-4.9473802617492e-13,-0.2854524218593808
P37,0.0035301917202620325,0.10963304598101731,1.5007049373100707e-07,-0.011471023763498844,3.875642900558514e-12,-0.0005192323172796831
P38,-0.08672847187734656,-0.1313694615132266,6.135562788335083e-07,-0.13453092309807502,2.045776509049574e-12,0.06799983725977032
P39,-0.013393997772997546,0.0321571927592581,1.480981739101931e-06,0.1625054465700968,1.0913890419656465e-12,0.15143332330257997
P40,-0.01214874278775202,0.03180947503551512,-7.755372102715218e-07,-0.07161894449190309,1.4484221994179355e-12,0.3026473528937874
P41,0.08840727321125819,-0.12286016840083236,-4.587007804179964e-06,-0.0914183113509921,2.247131034851732e-11,-0.34211708172971034
P42,0.14956730941331942,0.1743367049334097,-7.162286941306194e-07,0.2779954437039174,1.458986046507273e-11,-0.3304583256131368
