src,roi,n,chi_init,chi_inhib,dz,p_perm,q_bh4
residuo corregido,frontal,47,1.061838424806358,0.9112547704762002,0.4054324971912515,0.007099290070992901,0.028397160283971604
residuo corregido,cacc,47,0.8069886226478719,0.8927933058173096,-0.2587561075612823,0.0714928507149285,0.142985701429857
residuo corregido,lh,47,0.7055034059880778,0.6967351555869381,0.027528109941782553,0.8565143485651435,0.9125087491250875
residuo corregido,rh,47,0.6180924869059717,0.6138807909685008,0.015312474017992265,0.9125087491250875,0.9125087491250875
