subject,cond,roi,chi,gof,src
P1,INHIB,cacc,0.8279856034051272,0.9678433069116329,residuo corregido
P1,INHIB,frontal,1.4823742624969234,0.9982784309981941,residuo corregido
P1,INHIB,lh,0.5616108946707308,0.9835493147965084,residuo corregido
P1,INHIB,rh,0.8046688455428044,0.9662973619409837,residuo corregido
P1,INIT,cacc,0.8859404029797943,0.9845199683392204,residuo corregido
P1,INIT,frontal,1.6947616560666212,0.8780237938894199,residuo corregido
P1,INIT,lh,0.9443848763035303,0.9794089405270245,residuo corregido
P1,INIT,rh,0.5282247966254172,0.9560251494239169,residuo corregido
P10,INHIB,cacc,0.6684546928419091,0.8267887359342347,residuo corregido
P10,INHIB,frontal,0.5686038280825482,0.97780750432225,residuo corregido
P10,INHIB,lh,0.5229936271270569,0.9883346779415507,residuo corregido
P10,INHIB,rh,0.5092960440989083,0.9254985237926634,residuo corregido
P10,INIT,cacc,0.8029967857988124,0.9869744700636432,residuo corregido
P10,INIT,frontal,0.7181727628969188,0.9538598741343713,residuo corregido
P10,INIT,lh,0.5722783321735603,0.9553329316991358,residuo corregido
P10,INIT,rh,0.6095148150375713,0.9630611273982812,residuo corregido
P11,INHIB,cacc,0.5229373036678878,0.9510670984040954,residuo corregido
P11,INHIB,frontal,0.5040440480401623,0.8379419630767583,residuo corregido
P11,INHIB,lh,0.05219920513350586,0.8544869115591439,residuo corregido
P11,INHIB,rh,0.2963353973528807,0.6927556309881489,residuo corregido
P11,INIT,cacc,0.4844958129968368,0.9812598796584098,residuo corregido
P11,INIT,frontal,1.0314142993914284,0.8749126056355642,residuo corregido
P11,INIT,lh,0.3381000999315023,0.9719158748355184,residuo corregido
P11,INIT,rh,0.45448138922451986,0.8393399006208577,residuo corregido
P12,INHIB,cacc,0.6705807643570352,0.9434867166467608,residuo corregido
P12,INHIB,frontal,0.5727395977793412,0.9772463468111882,residuo corregido
P12,INHIB,lh,0.3715000636493411,0.902535930454557,residuo corregido
P12,INHIB,rh,0.1461813474616879,0.8102892164219255,residuo corregido
P12,INIT,cacc,0.533339777193136,0.8452238309510339,residuo corregido
P12,INIT,frontal,0.5682355420763258,0.9727968510042201,residuo corregido
P12,INIT,lh,0.4118787745128726,0.9855193910848039,residuo corregido
P12,INIT,rh,0.3345660968119892,0.9553682043304615,residuo corregido
P13,INHIB,cacc,1.0759503784857238,0.9803905524661574,residuo corregido
P13,INHIB,frontal,1.0954483711375318,0.9567119136133431,residuo corregido
P13,INHIB,lh,0.9171099994644283,0.9673999153220522,residuo corregido
P13,INHIB,rh,0.6850919036043728,0.9727731860468449,residuo corregido
P13,INIT,cacc,1.032713082141316,0.9822330400984561,residuo corregido
P13,INIT,frontal,1.236201313592024,0.9952522365600923,residuo corregido
P13,INIT,lh,0.7793375870793015,0.9746653659743071,residuo corregido
P13,INIT,rh,0.8788294731571978,0.9215390467253527,residuo corregido
P14,INHIB,cacc,1.029796532083446,0.960757697964444,residuo corregido
P14,INHIB,frontal,1.7102074935510971,0.9197545402209965,residuo corregido
P14,INHIB,lh,0.6852600555855077,0.9695960732001024,residuo corregido
P14,INHIB,rh,0.750677516708036,0.8867246524686098,residuo corregido
P14,INIT,cacc,1.0649179349213094,0.8871338595372564,residuo corregido
P14,INIT,frontal,1.9614186823701085,0.9027795788387936,residuo corregido
P14,INIT,lh,1.0789360052281176,0.9259627075978357,residuo corregido
P14,INIT,rh,0.9225271896489489,0.981746160629739,residuo corregido
P15,INHIB,cacc,0.7740052739703952,0.9484937771681246,residuo corregido
P15,INHIB,frontal,0.6799840370347756,0.9746685720232954,residuo corregido
P15,INHIB,lh,0.502652930990477,0.972934122191224,residuo corregido
P15,INHIB,rh,0.46896659543904395,0.9266132744824003,residuo corregido
P15,INIT,cacc,0.6584320836791059,0.9455803270747525,residuo corregido
P15,INIT,frontal,0.7669155220586726,0.9807589595397638,residuo corregido
P15,INIT,lh,0.5825305526439147,0.9888432503624383,residuo corregido
P15,INIT,rh,0.46148426054446,0.9724928967252973,residuo corregido
P16,INHIB,cacc,0.5205169327204585,0.9491519882762599,residuo corregido
P16,INHIB,frontal,0.5601821819324722,0.9712001785517229,residuo corregido
P16,INHIB,lh,0.46086259861003614,0.989931747088875,residuo corregido
P16,INHIB,rh,0.6121756336501543,0.7352978596437345,residuo corregido
P16,INIT,cacc,0.7157790322235817,0.9934258587652364,residuo corregido
P16,INIT,frontal,0.9762085994585985,0.9869665565105925,residuo corregido
P16,INIT,lh,0.6076962848717421,0.9894577298663217,residuo corregido
P16,INIT,rh,0.2733813440137048,0.9777027290217636,residuo corregido
P17,INHIB,cacc,0.8119573251373863,0.9769912556643445,residuo corregido
P17,INHIB,frontal,1.6342134844027032,0.9897367121129006,residuo corregido
P17,INHIB,lh,0.8933929601802809,0.817245133102139,residuo corregido
P17,INHIB,rh,0.735543123302999,0.848957297634817,residuo corregido
P17,INIT,cacc,0.934990883825512,0.9933922280062951,residuo corregido
P17,INIT,frontal,2.068705691895413,0.9070065736253982,residuo corregido
P17,INIT,lh,1.167036756173155,0.9716493382110357,residuo corregido
P17,INIT,rh,0.6576379867230646,0.779921768508919,residuo corregido
P18,INHIB,cacc,1.790153866437203,0.829547359916062,residuo corregido
P18,INHIB,frontal,1.3334095463742706,0.6852772016194978,residuo corregido
P18,INHIB,lh,2.7458209342928477,0.8715074598938113,residuo corregido
P18,INHIB,rh,1.0429869078582468,0.644311752699691,residuo corregido
P18,INIT,cacc,0.08520098112759522,0.8883200717871528,residuo corregido
P18,INIT,frontal,0.9010041251435266,0.9251446591860426,residuo corregido
P18,INIT,lh,1.4643936602316119,0.90639921017187,residuo corregido
P18,INIT,rh,1.0785479261521274,0.7198549579559755,residuo corregido
P2,INHIB,cacc,0.8671431436280735,0.9742405833396628,residuo corregido
P2,INHIB,frontal,0.9089002636441497,0.9866280891920075,residuo corregido
P2,INHIB,lh,0.7053935042828774,0.9164863183143539,residuo corregido
P2,INHIB,rh,0.5351174145796957,0.9832659710893352,residuo corregido
P2,INIT,cacc,0.8244308577238282,0.9808131385642831,residuo corregido
P2,INIT,frontal,0.7852404247754423,0.9695505857073324,residuo corregido
P2,INIT,lh,0.5556237309767798,0.9257706165754163,residuo corregido
P2,INIT,rh,0.5038576338797237,0.9677699216841049,residuo corregido
P20,INHIB,cacc,1.3229015840477034,0.9304800116109774,residuo corregido
P20,INHIB,frontal,1.1485506087818678,0.9600061605072674,residuo corregido
P20,INHIB,lh,0.9330729911915996,0.9961402819643238,residuo corregido
P20,INHIB,rh,0.9341584143503787,0.8647075624116893,residuo corregido
P20,INIT,cacc,0.8376215009249787,0.9881625993534761,residuo corregido
P20,INIT,frontal,1.303892202747324,0.9935360409287263,residuo corregido
P20,INIT,lh,0.7104249153206229,0.9666384570988785,residuo corregido
P20,INIT,rh,0.5118620335668314,0.9739599008292089,residuo corregido
P21,INHIB,cacc,1.1564062289421477,0.9877011452953695,residuo corregido
P21,INHIB,frontal,1.5147756735713729,0.9774746941257413,residuo corregido
P21,INHIB,lh,0.7179969519475986,0.9219409058423881,residuo corregido
P21,INHIB,rh,0.6682819355388718,0.9496740696791445,residuo corregido
P21,INIT,cacc,0.9891273295215444,0.9761002781011593,residuo corregido
P21,INIT,frontal,1.5975480334805443,0.9976024085225413,residuo corregido
P21,INIT,lh,0.8605336971229479,0.9925564369057007,residuo corregido
P21,INIT,rh,0.5888942954033425,0.9174268527573283,residuo corregido
P22,INHIB,cacc,0.8201790823249713,0.8685171872557556,residuo corregido
P22,INHIB,frontal,0.7170190497892459,0.7072374500662842,residuo corregido
P22,INHIB,lh,0.5034262726663163,0.6144218210592362,residuo corregido
P22,INHIB,rh,0.5342981384326936,0.6475602679381463,residuo corregido
P22,INIT,cacc,0.7847957342598321,0.9360116057083068,residuo corregido
P22,INIT,frontal,0.7290460883325987,0.9797366333288097,residuo corregido
P22,INIT,lh,0.5557840823506706,0.6981003089547272,residuo corregido
P22,INIT,rh,0.47744160666321966,0.7890862814169141,residuo corregido
P23,INHIB,cacc,0.9785964778980457,0.8482466299997675,residuo corregido
P23,INHIB,frontal,1.2134917052825678,0.922238591324405,residuo corregido
P23,INHIB,lh,0.49987491452286437,0.9344478685567307,residuo corregido
P23,INHIB,rh,0.5387029551021826,0.9656671511905707,residuo corregido
P23,INIT,cacc,0.8239245736727624,0.8906754013679599,residuo corregido
P23,INIT,frontal,1.2031852901286024,0.7992522744598312,residuo corregido
P23,INIT,lh,0.32634657288657176,0.5012088398944791,residuo corregido
P23,INIT,rh,0.5166284341458425,0.7433606334783273,residuo corregido
P24,INHIB,cacc,0.6341668677533246,0.9753442723536794,residuo corregido
P24,INHIB,frontal,0.6967680023322398,0.9760063627039999,residuo corregido
P24,INHIB,lh,0.5077984854448878,0.9224803963629707,residuo corregido
P24,INHIB,rh,0.4171643736251878,0.9281079329630937,residuo corregido
P24,INIT,cacc,1.025276450104921,0.9898928379010469,residuo corregido
P24,INIT,frontal,0.46563272911542253,0.9575288797008998,residuo corregido
P24,INIT,lh,0.45893770245825627,0.98621068518006,residuo corregido
P24,INIT,rh,0.39425313918530586,0.9405674683993555,residuo corregido
P25,INHIB,cacc,0.9019205307651368,0.9565540752231754,residuo corregido
P25,INHIB,frontal,0.5060718322317027,0.9547641862687102,residuo corregido
P25,INHIB,lh,0.40642791131005673,0.9733433898797371,residuo corregido
P25,INHIB,rh,0.6883321276829634,0.7535043797308385,residuo corregido
P25,INIT,cacc,0.8137102453681078,0.9976219070349839,residuo corregido
P25,INIT,frontal,0.6143946080711654,0.9613146547214361,residuo corregido
P25,INIT,lh,0.6349357853284849,0.9911415701583636,residuo corregido
P25,INIT,rh,0.3691635669190699,0.9750328123304433,residuo corregido
P26,INHIB,cacc,1.2895206655003464,0.8985850746737647,residuo corregido
P26,INHIB,frontal,1.166668611251651,0.8665539870527041,residuo corregido
P26,INHIB,lh,0.34161468892958524,0.3888142072604627,residuo corregido
P26,INHIB,rh,0.2683278686985654,0.8192185133207045,residuo corregido
P26,INIT,cacc,0.7311238705859641,0.9957910264973617,residuo corregido
P26,INIT,frontal,0.6688126770589509,0.9556735667753206,residuo corregido
P26,INIT,lh,0.4858413461413854,0.6684094244487325,residuo corregido
P26,INIT,rh,0.510059836600166,0.9354891052888865,residuo corregido
P27,INHIB,cacc,1.107160142046312,0.9523335445783437,residuo corregido
P27,INHIB,frontal,0.9683148567104093,0.7792113335883181,residuo corregido
P27,INHIB,lh,0.9633125172247206,0.8583541070525311,residuo corregido
P27,INHIB,rh,0.9660812604423438,0.8491222629032616,residuo corregido
P27,INIT,cacc,1.3531310973896136,0.9075250651148393,residuo corregido
P27,INIT,frontal,1.1596487094353776,0.9532003784290211,residuo corregido
P27,INIT,lh,0.4956973050518076,0.9223675988714899,residuo corregido
P27,INIT,rh,0.523281599696289,0.9284259043212107,residuo corregido
P28,INHIB,cacc,1.0885875063212591,0.9690660338983568,residuo corregido
P28,INHIB,frontal,0.8835863195064617,0.9307974853064028,residuo corregido
P28,INHIB,lh,1.0617601536486148,0.9159216171618229,residuo corregido
P28,INHIB,rh,0.6360937092451271,0.9818921044437379,residuo corregido
P28,INIT,cacc,0.9210483499038984,0.9744915015679007,residuo corregido
P28,INIT,frontal,1.0871052625962239,0.9862093589049207,residuo corregido
P28,INIT,lh,0.7756823798974244,0.961006062807355,residuo corregido
P28,INIT,rh,0.355653038214868,0.9265300594522091,residuo corregido
P29,INHIB,cacc,0.7424721497340586,0.9911364893456377,residuo corregido
P29,INHIB,frontal,0.7090965527123727,0.994111486358917,residuo corregido
P29,INHIB,lh,0.1551738357329493,0.9751759100359556,residuo corregido
P29,INHIB,rh,0.5438137960795992,0.9484984110390157,residuo corregido
P29,INIT,cacc,0.7124867080261295,0.9397763471177941,residuo corregido
P29,INIT,frontal,1.4262343406658804,0.9262243696101382,residuo corregido
P29,INIT,lh,0.500900474795887,0.9629575228945021,residuo corregido
P29,INIT,rh,0.595362964293258,0.9535559939585382,residuo corregido
P3,INHIB,cacc,1.0724855771817678,0.9181018045732545,residuo corregido
P3,INHIB,frontal,0.2704433925354117,0.3840188083326504,residuo corregido
P3,INHIB,lh,0.21007387897674462,0.8726330406969668,residuo corregido
P3,INHIB,rh,0.5516844617818045,0.47970264363975745,residuo corregido
P3,INIT,cacc,0.4503146792864248,0.7845731903982485,residuo corregido
P3,INIT,frontal,1.5526819541101964,0.6634034834794202,residuo corregido
P3,INIT,lh,0.626141857540487,0.4620178259684484,residuo corregido
P3,INIT,rh,0.17248630398162898,0.43400662112414334,residuo corregido
P30,INHIB,cacc,1.3101250755034577,0.969452215028073,residuo corregido
P30,INHIB,frontal,0.8299101317272807,0.9859606066238619,residuo corregido
P30,INHIB,lh,1.271481617836977,0.9667006709976479,residuo corregido
P30,INHIB,rh,0.8843311889294287,0.9661915877552867,residuo corregido
P30,INIT,cacc,1.377985478049716,0.9565231393883236,residuo corregido
P30,INIT,frontal,1.097509074920708,0.9920640324933409,residuo corregido
P30,INIT,lh,0.9340921261926654,0.9905757383112216,residuo corregido
P30,INIT,rh,1.019106126192757,0.9888961846809025,residuo corregido
P31,INHIB,cacc,0.9848690318266443,0.9813767741353666,residuo corregido
P31,INHIB,frontal,1.0634224626887456,0.9302152286118337,residuo corregido
P31,INHIB,lh,1.0950954885342508,0.9879490442559398,residuo corregido
P31,INHIB,rh,1.2264782070925058,0.9914682149590638,residuo corregido
P31,INIT,cacc,0.7642156761059954,0.990934583400226,residuo corregido
P31,INIT,frontal,0.5419438784760309,0.865020386676807,residuo corregido
P31,INIT,lh,0.5346543883111868,0.9288800166125477,residuo corregido
P31,INIT,rh,0.48202578191453993,0.9747263398147219,residuo corregido
P32,INHIB,cacc,0.9002991234186727,0.9321094445046151,residuo corregido
P32,INHIB,frontal,0.6445471088837558,0.9655828336866744,residuo corregido
P32,INHIB,lh,0.827992823573033,0.8694180546984746,residuo corregido
P32,INHIB,rh,0.32142029828321794,0.9335760000501734,residuo corregido
P32,INIT,cacc,0.733864612084527,0.9728937161417649,residuo corregido
P32,INIT,frontal,0.7914356723505193,0.982141656683248,residuo corregido
P32,INIT,lh,0.9044414778285793,0.9945547616191289,residuo corregido
P32,INIT,rh,0.7264078622565947,0.9898058996185554,residuo corregido
P33,INHIB,cacc,0.48926800048162966,0.897929388289446,residuo corregido
P33,INHIB,frontal,0.5121280999459242,0.952096966814938,residuo corregido
P33,INHIB,lh,0.4180872847901507,0.9486792690281268,residuo corregido
P33,INHIB,rh,0.8975802883283674,0.9477915418018589,residuo corregido
P33,INIT,cacc,1.0153792449419734,0.9438500305239325,residuo corregido
P33,INIT,frontal,1.6152379868369837,0.8523015292608233,residuo corregido
P33,INIT,lh,0.9890420621712688,0.6940357714470617,residuo corregido
P33,INIT,rh,0.568122718605851,0.8571850565338226,residuo corregido
P34,INHIB,cacc,0.733340827300175,0.9655458634571351,residuo corregido
P34,INHIB,frontal,0.6303536119521814,0.9905218869148918,residuo corregido
P34,INHIB,lh,0.511761144870823,0.9792310304317677,residuo corregido
P34,INHIB,rh,0.4484245732143466,0.9647488899228772,residuo corregido
P34,INIT,cacc,0.5972750448592239,0.9058525717270632,residuo corregido
P34,INIT,frontal,0.9948783853021479,0.9837219180368998,residuo corregido
P34,INIT,lh,0.7075049262880946,0.831766928494598,residuo corregido
P34,INIT,rh,0.3815283298815032,0.9910559103393872,residuo corregido
P35,INHIB,cacc,0.887256221820016,0.9911343042502809,residuo corregido
P35,INHIB,frontal,0.7725909413344297,0.9550634086467659,residuo corregido
P35,INHIB,lh,0.609829464306636,0.9733050965884481,residuo corregido
P35,INHIB,rh,0.5015604543900867,0.9913014280691428,residuo corregido
P35,INIT,cacc,0.9274606192261123,0.8910848381883729,residuo corregido
P35,INIT,frontal,0.5671135040584572,0.9737382926780657,residuo corregido
P35,INIT,lh,0.5497607746805968,0.973879876424118,residuo corregido
P35,INIT,rh,0.6322769187435094,0.9737296359419189,residuo corregido
P36,INHIB,cacc,1.0201041463787448,0.97636584258043,residuo corregido
P36,INHIB,frontal,0.5678519235244852,0.8236633772471582,residuo corregido
P36,INHIB,lh,0.08908758268783948,0.042361473041790325,residuo corregido
P36,INHIB,rh,0.23560865948475446,0.6943883940831576,residuo corregido
P36,INIT,cacc,0.7637047275633264,0.9474687642960077,residuo corregido
P36,INIT,frontal,0.2823995016651044,0.8437091494316992,residuo corregido
P36,INIT,lh,0.132874830051617,0.8345832317568569,residuo corregido
P36,INIT,rh,0.45384941283927727,0.6942457905134907,residuo corregido
P37,INHIB,cacc,0.41544440697183677,0.930409163981354,residuo corregido
P37,INHIB,frontal,0.8044010308078022,0.6447093825511537,residuo corregido
P37,INHIB,lh,0.3911645168525963,0.9129940207693503,residuo corregido
P37,INHIB,rh,0.6138089351123708,0.598124585501618,residuo corregido
P37,INIT,cacc,0.5434188891433214,0.961402434941591,residuo corregido
P37,INIT,frontal,0.8038817984905225,0.9566797990226731,residuo corregido
P37,INIT,lh,0.8407901607430645,0.9159180730499491,residuo corregido
P37,INIT,rh,0.31216990571442543,0.42897876459419315,residuo corregido
P38,INHIB,cacc,0.8662208165289561,0.9799733353285347,residuo corregido
P38,INHIB,frontal,0.5503928762881739,0.9578074111883469,residuo corregido
P38,INHIB,lh,0.5322210350544659,0.9847300919811633,residuo corregido
P38,INHIB,rh,0.46724110127179846,0.9240083402668785,residuo corregido
P38,INIT,cacc,0.7664426124388986,0.9890848269392386,residuo corregido
P38,INIT,frontal,0.6183927135479442,0.9953095737438449,residuo corregido
P38,INIT,lh,0.5385179791924483,0.9779204009314628,residuo corregido
P38,INIT,rh,0.569057805377659,0.8257525309181667,residuo corregido
P39,INHIB,cacc,0.72935590132697,0.9808215110764311,residuo corregido
P39,INHIB,frontal,0.7604390114944737,0.8341678496920277,residuo corregido
P39,INHIB,lh,0.5760514641980778,0.9758003499730518,residuo corregido
P39,INHIB,rh,0.6764748078501852,0.9692139072223146,residuo corregido
P39,INIT,cacc,0.6281066097214687,0.9655185725893413,residuo corregido
P39,INIT,frontal,0.9118723347970537,0.9210389213125889,residuo corregido
P39,INIT,lh,1.035101516924431,0.8957701569912525,residuo corregido
P39,INIT,rh,0.6532855061122057,0.9456538408964276,residuo corregido
P40,INHIB,cacc,0.86628500148539,0.869946113899617,residuo corregido
P40,INHIB,frontal,0.8218062314620065,0.9472585066582305,residuo corregido
P40,INHIB,lh,0.4349947061100683,0.8797782446036606,residuo corregido
P40,INHIB,rh,0.3834490393762313,0.9833868519856489,residuo corregido
P40,INIT,cacc,1.0005335783737965,0.8911863228344862,residuo corregido
P40,INIT,frontal,1.124453584355794,0.8731697937432277,residuo corregido
P40,INIT,lh,0.5682105915277545,0.6807319546470018,residuo corregido
P40,INIT,rh,0.7277387667707012,0.8739324643844166,residuo corregido
P41,INHIB,cacc,1.1053489342412266,0.9731770479559241,residuo corregido
P41,INHIB,frontal,1.901871065507647,0.9038784513696386,residuo corregido
P41,INHIB,lh,1.1919124524944142,0.9911464128242369,residuo corregido
P41,INHIB,rh,0.6581820221088699,0.9142949367559955,residuo corregido
P41,INIT,cacc,0.6887939768496495,0.883607748494852,residuo corregido
P41,INIT,frontal,1.5597539837779366,0.980020784963173,residuo corregido
P41,INIT,lh,1.1685584003164189,0.8269968505417845,residuo corregido
P41,INIT,rh,0.962169689495269,0.9586692978709699,residuo corregido
P42,INHIB,cacc,0.9275634185997818,0.9689566031661202,residuo corregido
P42,INHIB,frontal,1.1545020984194776,0.7429482557674324,residuo corregido
P42,INHIB,lh,0.4045248908359282,0.9504444763575762,residuo corregido
P42,INHIB,rh,0.44727555731366125,0.9620964221497209,residuo corregido
P42,INIT,cacc,0.8721148621589985,0.9680087526680912,residuo corregido
P42,INIT,frontal,0.8240437728063408,0.9141780800890206,residuo corregido
P42,INIT,lh,0.7287508288341613,0.980585726977373,residuo corregido
P42,INIT,rh,0.46277400148960574,0.9902444268350016,residuo corregido
P43,INHIB,cacc,0.9702862221653522,0.9800814536438904,residuo corregido
P43,INHIB,frontal,1.351051521397904,0.8892322105317276,residuo corregido
P43,INHIB,lh,0.927707455666302,0.8897713722493478,residuo corregido
P43,INHIB,rh,0.8611330086383712,0.824172294214984,residuo corregido
P43,INIT,cacc,0.8481958338187178,0.9227253346780491,residuo corregido
P43,INIT,frontal,1.383304831996659,0.9108740398047225,residuo corregido
P43,INIT,lh,0.8205049200005412,0.866427080808366,residuo corregido
P43,INIT,rh,0.9711048846084464,0.803818930353096,residuo corregido
P44,INHIB,cacc,0.7023372318346314,0.9123688000996858,residuo corregido
P44,INHIB,frontal,0.5953348380561445,0.903624023138289,residuo corregido
P44,INHIB,lh,0.44677556721023914,0.8485164278908995,residuo corregido
P44,INHIB,rh,0.369722143519994,0.9511787564648055,residuo corregido
P44,INIT,cacc,0.7550638457571055,0.9780738940292935,residuo corregido
P44,INIT,frontal,0.9885951220653106,0.9726197341870966,residuo corregido
P44,INIT,lh,0.44721519073157323,0.9224253439367998,residuo corregido
P44,INIT,rh,0.6541496224572774,0.9815829624538257,residuo corregido
P45,INHIB,cacc,0.8173402414828141,0.9372457703944116,residuo corregido
P45,INHIB,frontal,1.4268994389654528,0.9901388882394214,residuo corregido
P45,INHIB,lh,1.1179325208681732,0.9933916036174847,residuo corregido
P45,INHIB,rh,1.1161205509802894,0.8942816128805608,residuo corregido
P45,INIT,cacc,0.8520300998274215,0.9551401892578174,residuo corregido
P45,INIT,frontal,1.798202592011425,0.9038561074477902,residuo corregido
P45,INIT,lh,1.182869500033037,0.9598773641842795,residuo corregido
P45,INIT,rh,1.0472687744796745,0.8973318407347602,residuo corregido
P46,INHIB,cacc,0.0006662392478680376,0.661206818208164,residuo corregido
P46,INHIB,frontal,0.612879597320547,0.8459048016339207,residuo corregido
P46,INHIB,lh,-0.027858783503788405,0.6398329610698646,residuo corregido
P46,INHIB,rh,-0.0317747589784205,0.620136014889819,residuo corregido
P46,INIT,cacc,0.06642749556311542,0.988176215981931,residuo corregido
P46,INIT,frontal,0.8323252195331128,0.8707411403617646,residuo corregido
P46,INIT,lh,-0.03586964786948398,0.7757311727996754,residuo corregido
P46,INIT,rh,-0.025375658287007538,0.5618009008939839,residuo corregido
P47,INHIB,cacc,1.1540840684798936,0.984660894408349,residuo corregido
P47,INHIB,frontal,1.066495994231732,0.9673267331074361,residuo corregido
P47,INHIB,lh,1.3860518075746424,0.8624208857464126,residuo corregido
P47,INHIB,rh,1.3035075281154116,0.8437865953014493,residuo corregido
P47,INIT,cacc,0.9620926856661571,0.989660695768009,residuo corregido
P47,INIT,frontal,1.5366256024591203,0.982718805072611,residuo corregido
P47,INIT,lh,1.5599141100891298,0.9109770375243997,residuo corregido
P47,INIT,rh,1.0755303923219333,0.834010003406158,residuo corregido
P48,INHIB,cacc,1.0812018529469192,0.9636845995072068,residuo corregido
P48,INHIB,frontal,1.7291146044667798,0.9238261571862837,residuo corregido
P48,INHIB,lh,1.1391503614704308,0.7684929894796372,residuo corregido
P48,INHIB,rh,0.3066782736790248,0.7292144460458625,residuo corregido
P48,INIT,cacc,0.8968462745143547,0.9514080441520523,residuo corregido
P48,INIT,frontal,1.9519582957842605,0.9142706039220446,residuo corregido
P48,INIT,lh,0.8810670218430845,0.9218240167969479,residuo corregido
P48,INIT,rh,0.9424239017442964,0.6940032946358272,residuo corregido
P49,INHIB,cacc,0.8108226317025718,0.9502064859821732,residuo corregido
P49,INHIB,frontal,0.484336929261214,0.9781728278799913,residuo corregido
P49,INHIB,lh,0.5913385377240011,0.9507722338514271,residuo corregido
P49,INHIB,rh,0.9528211426988094,0.870395887453729,residuo corregido
P49,INIT,cacc,0.871445929923642,0.9956445819083072,residuo corregido
P49,INIT,frontal,0.9980881403437392,0.9945832459623551,residuo corregido
P49,INIT,lh,0.4735907457483074,0.9819444724368713,residuo corregido
P49,INIT,rh,0.5751620715129954,0.9961568596820599,residuo corregido
P50,INHIB,cacc,0.9340410901722735,0.9914022393727098,residuo corregido
P50,INHIB,frontal,1.6757120475866198,0.9896369862874713,residuo corregido
P50,INHIB,lh,0.7764040823775517,0.8286275430219932,residuo corregido
P50,INHIB,rh,0.5686466729182387,0.9866114004999277,residuo corregido
P50,INIT,cacc,1.1734781537264403,0.9848580615769031,residuo corregido
P50,INIT,frontal,1.225056580340979,0.9866169022125816,residuo corregido
P50,INIT,lh,0.45170750728660736,0.914626995389044,residuo corregido
P50,INIT,rh,0.7439683057322262,0.9714403882488072,residuo corregido
P6,INHIB,cacc,0.6610235099060615,0.9757484011482414,residuo corregido
P6,INHIB,frontal,0.3769660958565918,0.9622147055146772,residuo corregido
P6,INHIB,lh,0.5232436858642251,0.6959541350380735,residuo corregido
P6,INHIB,rh,0.40932374645533,0.9606384933392889,residuo corregido
P6,INIT,cacc,0.702659001856756,0.9871588475458503,residuo corregido
P6,INIT,frontal,0.4391077940878757,0.9436522390135607,residuo corregido
P6,INIT,lh,0.6100197920383857,0.7168390269355457,residuo corregido
P6,INIT,rh,0.4561209712920592,0.7104228575918343,residuo corregido
P7,INHIB,cacc,1.3878140751353176,0.9167010752123296,residuo corregido
P7,INHIB,frontal,0.8414090752028942,0.9593816042892065,residuo corregido
P7,INHIB,lh,0.9607157828982351,0.8875645481460486,residuo corregido
P7,INHIB,rh,0.5496289906883948,0.9857786143146648,residuo corregido
P7,INIT,cacc,0.9054077846790618,0.9407880625185502,residuo corregido
P7,INIT,frontal,1.4666015752043802,0.983975773442863,residuo corregido
P7,INIT,lh,0.6415938649117352,0.6542538974113993,residuo corregido
P7,INIT,rh,0.9641484890683072,0.9074531113497594,residuo corregido
P8,INHIB,cacc,0.6974786470604103,0.7723076141791704,residuo corregido
P8,INHIB,frontal,0.5396606049269518,0.7009990857836849,residuo corregido
P8,INHIB,lh,0.6235346508311842,0.9564833375553489,residuo corregido
P8,INHIB,rh,0.3285442096951825,0.5088041957354293,residuo corregido
