family,contrast,n,mean_init,mean_inhib,dz,dz_lo,dz_hi,p_perm,q_perm,q_perm_AISonly
P,AIS frontal,47,0.8921872400350824,0.8542888601796383,0.39115108041479224,0.11362130261422138,0.704685483913366,0.010198980101989802,0.030596940305969406,0.04079592040795921
P,AIS cacc,47,0.9286688584948659,0.944956746425047,-0.2613154530221325,-0.5065463899103145,0.005792328274902737,0.0741925807419258,0.1483851614838516,0.1483851614838516
P,AIS lh,47,0.7644802584725517,0.779576447624865,-0.21377297649822333,-0.45606780982376116,0.06568742823617735,0.1566843315668433,0.18802119788021196,0.2089124420891244
P,AIS rh,47,0.7530191006568832,0.758582837207575,-0.08791898229784365,-0.3428869238115406,0.2232385342268555,0.5594440555944405,0.5594440555944405,0.5594440555944405
P,TE frontal->cacc,47,1.1812166512153204,1.1692008682594124,0.2366413275725388,-0.03680472503342436,0.4785592599296738,0.10868913108689131,0.16303369663033698,
P,TE cacc->frontal,47,1.2082024453368045,1.2348265840996748,-0.3922052110995607,-0.6742537907846066,-0.12492531951452202,0.008999100089991,0.030596940305969406,
C,AIS crudo frontal,47,1.2703169236163276,1.225632391818892,0.3653010619062369,0.0891246994105809,0.6734755850724958,0.019598040195980403,0.039196080391960805,
C,AIS crudo cacc,47,1.286225415682636,1.313163267297687,-0.40256141507356025,-0.7384660696550195,-0.11449316244563675,0.0091990800919908,0.0367963203679632,
C,AIS crudo lh,47,1.0946921648924368,1.0898928396819083,0.04877084667441771,-0.24869391360493726,0.31629011560564496,0.7568243175682432,0.7568243175682432,
C,AIS crudo rh,47,1.0642036010044114,1.0579834347580905,0.05958743164628414,-0.23586532730368467,0.34499668160052877,0.6930306969303069,0.7568243175682432,
B,absA1 frontal,47,0.0010609136829176605,0.00011239324777103135,0.3552195844931106,0.24266134420015417,0.5245303660700147,0.0020997900209979003,0.027597240275972403,
B,absA1 cacc,47,0.00014333610803213192,0.00031308628987049476,-0.14551628479621395,-0.3201775672184075,0.19834741449159285,0.41415858414158585,0.9637036296370363,
B,absA1 lh,47,0.00012030578503283005,0.0001132650813144667,0.01382976771996742,-0.22509590925646325,0.3790246003645089,0.9325067493250675,0.9637036296370363,
B,absA1 rh,47,0.00023102600457607634,0.0002701644624139583,-0.03854585380907343,-0.30944500183487905,0.2647766100032716,0.793920607939206,0.9637036296370363,
B,gamma1 frontal,47,2.6719168440540884,2.725733329337734,-0.03726808115686959,-0.34572757413625277,0.24377401366457827,0.799020097990201,0.9637036296370363,
B,gamma1 cacc,47,4.2393214261445005,4.425028760310051,-0.07101881046716645,-0.3171720241140042,0.2670081439299044,0.6419358064193581,0.9637036296370363,
B,gamma1 lh,47,3.414949590405045,3.484041030999782,-0.040335509636647324,-0.3340047247673158,0.24547056369491416,0.7815218478152185,0.9637036296370363,
B,gamma1 rh,47,3.657034509011374,4.085166766464765,-0.12304049060105397,-0.30480618555979766,0.274551438984764,0.49955004499550043,0.9637036296370363,
B,f1 frontal,47,2.0729488292604707,1.8928454658349205,0.29137903594384756,0.016468508489666224,0.5815601040094158,0.04889511048895111,0.39116088391160886,
B,f1 cacc,47,2.7258675504100043,2.8593653497705613,-0.1838142679111383,-0.49208397405266174,0.09349620242678473,0.2211778822117788,0.9637036296370363,
B,f1 lh,47,2.2065698458106278,2.133258508584318,0.07376640938334532,-0.16758519511385953,0.5970803415114843,0.7162283771622838,0.9637036296370363,
B,f1 rh,47,2.248517992275066,2.2757275445752234,-0.03686151072127592,-0.27518409983520425,0.33043004240401325,0.8118188181181882,0.9637036296370363,
B,absA2 frontal,47,0.0010455824232012214,9.991651271153585e-05,0.3533446391316392,0.23619446102863106,0.5243863720415384,0.0022997700229977,0.027597240275972403,
B,absA2 cacc,47,0.00012968810905374039,0.0003025905846331968,-0.14933380925953568,-0.31796312011014183,0.18272643446303027,0.38476152384761525,0.9637036296370363,
B,absA2 lh,47,0.00010976144827955899,0.00010179603335726893,0.015562897489697339,-0.2249980949180784,0.36598710111312793,0.92000799920008,0.9637036296370363,
B,absA2 rh,47,0.00022124287506420292,0.0002594234049155534,-0.037755871360903456,-0.3159528054007395,0.26873631294054773,0.8006199380061993,0.9637036296370363,
B,gamma2 frontal,47,21.258849825215368,20.791279648915577,0.04302680236215352,-0.2811917084372775,0.30734502657936846,0.7786221377862214,0.9637036296370363,
B,gamma2 cacc,47,17.029652843205813,17.594806542254656,-0.08264176462227725,-0.370270143921494,0.20760614211443362,0.5635436456354365,0.9637036296370363,
B,gamma2 lh,47,18.934848546707258,18.399911182220787,0.06140156936302727,-0.22347368183878324,0.37796083705826733,0.6791320867913209,0.9637036296370363,
B,gamma2 rh,47,19.075774929992356,19.200005168284587,-0.010166527044771657,-0.4663948664956398,0.2217368992036079,0.9535046495350465,0.9637036296370363,
B,f2 frontal,47,12.146133672558877,12.733157163928821,-0.2610473299148368,-0.5997226580530788,0.023742315408780502,0.08299170082991701,0.4979502049795021,
B,f2 cacc,47,12.424300195806113,12.350756534210156,0.03952009894750321,-0.25227043534033383,0.32367239405063913,0.7909209079092091,0.9637036296370363,
B,f2 lh,47,13.420979848329324,13.434048828404535,-0.006949379140487256,-0.2979515027067821,0.28357322433049986,0.9637036296370363,0.9637036296370363,
B,f2 rh,47,14.513924105150696,14.352195747027736,0.04743886098528785,-0.2869147443414156,0.29180420668915735,0.7675232476752325,0.9637036296370363,
B-exploratorio,phi1 frontal (circular),47,,,-0.2833781059124774,-0.5952267582418076,0.0016282838826443854,0.05849415058494151,,
B-exploratorio,phi1 cacc (circular),47,,,-0.32342931590053364,-0.6597252677554997,-0.0437540250590918,0.029897010298970104,,
B-exploratorio,phi1 lh (circular),47,,,-0.3503627912797227,-0.6303409149201473,-0.082312443120299,0.0212978702129787,,
B-exploratorio,phi1 rh (circular),47,,,-0.11399078708568128,-0.4204307912922956,0.1693069624910098,0.44285571442855715,,
B-exploratorio,phi2 frontal (circular),47,,,-0.03616708276278347,-0.3085579984541285,0.27806833341569787,0.806019398060194,,
B-exploratorio,phi2 cacc (circular),47,,,-0.19710555368208102,-0.43932434511728574,0.08771325525619122,0.18838116188381163,,
B-exploratorio,phi2 lh (circular),47,,,0.02370205221894452,-0.27773242595131564,0.30711560510007635,0.8740125987401259,,
B-exploratorio,phi2 rh (circular),47,,,0.014927920413628627,-0.28943789057198743,0.29828063931670484,0.9187081291870813,,
