measure,param,value,lag,roi,n,mean_init,mean_inhib,t,p_param,dz,p_perm,q_perm
AIS,bins,4,1,frontal,47,0.49959386759179997,0.46228632425840005,2.935035882650628,0.005189800333243326,0.4281189840688493,0.005599440055994401,0.022397760223977603
AIS,bins,4,1,cacc,47,0.5436781798244432,0.5532976333227099,-1.1596878882625892,0.25216006512148587,-0.16915786396163388,0.25777422257774224,0.34369896343698964
AIS,bins,4,1,lh,47,0.3819076059969919,0.3975175902720728,-1.5541750512407615,0.12699655753030156,-0.22669973063547355,0.1351864813518648,0.2703729627037296
AIS,bins,4,1,rh,47,0.37410054754279354,0.3826903576627651,-0.9713935965843794,0.33643268281381533,-0.14169231870688972,0.34976502349765026,0.34976502349765026
AIS,bins,6,1,frontal,47,0.6908527224536325,0.6512340781672021,2.9572733110862144,0.004886000094693626,0.43136264637854116,0.0040995900409959,0.0163983601639836
AIS,bins,6,1,cacc,47,0.7316806566955908,0.7454827026337913,-1.7242093268445573,0.09138518520710998,-0.25150177880077185,0.09199080091990801,0.18398160183981602
AIS,bins,6,1,lh,47,0.5573010782551406,0.5724706823162601,-1.3342224668541414,0.18869872857231249,-0.19461634878397926,0.19338066193380662,0.2578408825784088
AIS,bins,6,1,rh,47,0.5462504896915513,0.5548114987229834,-0.9004122423406861,0.37259084879617044,-0.13133862407362434,0.38306169383061695,0.38306169383061695
AIS,bins,8,1,frontal,47,0.8921872400350824,0.8542888601796383,2.6815967038975095,0.010140655349944416,0.39115108041479224,0.0105989401059894,0.0423957604239576
AIS,bins,8,1,cacc,47,0.9286688584948659,0.944956746425047,-1.7914884876670654,0.0797950127775641,-0.2613154530221325,0.08149185081491851,0.16298370162983702
AIS,bins,8,1,lh,47,0.7644802584725517,0.779576447624865,-1.465553689771469,0.14957239410581943,-0.21377297649822333,0.1498850114988501,0.1998466819984668
AIS,bins,8,1,rh,47,0.7530191006568832,0.758582837207575,-0.6027421754527897,0.5496403746184367,-0.08791898229784365,0.5627437256274372,0.5627437256274372
AIS,bins,10,1,frontal,47,1.1171199768767068,1.0837505567029584,2.960097461400544,0.004848628740535927,0.4317745910401297,0.0032996700329967,0.0131986801319868
AIS,bins,10,1,cacc,47,1.1467435691107675,1.1581796069505534,-1.5590082408010129,0.12584863287500836,-0.2274047237895873,0.12308769123087691,0.1795820417958204
AIS,bins,10,1,lh,47,1.0022590124060213,1.0154629535806663,-1.5036160573247557,0.13951545523905076,-0.21932494341777325,0.1346865313468653,0.1795820417958204
AIS,bins,10,1,rh,47,0.9909071688577511,1.00199318850277,-1.280621020196401,0.206746417959054,-0.18679777422297308,0.20777922207779223,0.20777922207779223
AIS,window,+/-200ms (ajuste),1,frontal,47,0.8921872400350824,0.8542888601796383,2.6815967038975095,0.010140655349944416,0.39115108041479224,0.009999000099990002,0.039996000399960006
AIS,window,+/-200ms (ajuste),1,cacc,47,0.9286688584948659,0.944956746425047,-1.7914884876670654,0.0797950127775641,-0.2613154530221325,0.07739226077392261,0.15478452154784522
AIS,window,+/-200ms (ajuste),1,lh,47,0.7644802584725517,0.779576447624865,-1.465553689771469,0.14957239410581943,-0.21377297649822333,0.1503849615038496,0.20051328200513283
AIS,window,+/-200ms (ajuste),1,rh,47,0.7530191006568832,0.758582837207575,-0.6027421754527897,0.5496403746184367,-0.08791898229784365,0.5571442855714429,0.5571442855714429
AIS,window,+/-100ms,1,frontal,47,1.1909006802675426,1.171707250355896,1.8240614067947936,0.07464271972078237,0.26606670159376017,0.06939306069393061,0.13878612138786123
AIS,window,+/-100ms,1,cacc,47,1.2130562107866603,1.227476500750005,-1.540070575846587,0.13039466307489972,-0.22464238145201998,0.12668733126687332,0.16891644168916442
AIS,window,+/-100ms,1,lh,47,1.1028400139585441,1.1183745739073303,-2.1689012643354646,0.035295622911015616,-0.31636676448206524,0.03519648035196481,0.13878612138786123
AIS,window,+/-100ms,1,rh,47,1.1008078491344016,1.1035465334273162,-0.3527356356412725,0.7258978398452255,-0.05145178049381865,0.7292270772922708,0.7292270772922708
AIS,window,+/-50ms,1,frontal,47,1.6646706797226087,1.6605195325866122,0.7727249738402301,0.44363762402486795,0.11271352173941594,0.43885611438856115,0.9155084491550844
AIS,window,+/-50ms,1,cacc,47,1.6805668666637705,1.683397940888632,-0.5362372720238342,0.5943784084781498,-0.07821824512461074,0.5978402159784022,0.9155084491550844
AIS,window,+/-50ms,1,lh,47,1.638765994319978,1.639249445818001,-0.10426478319227145,0.9174125110125215,-0.015208581713870496,0.9155084491550844,0.9155084491550844
AIS,window,+/-50ms,1,rh,47,1.6404591982445185,1.650591777015547,-0.6916661524824971,0.49262341055562753,-0.1008898774512409,0.7681231876812319,0.9155084491550844
