src,roi,n,chi_init,chi_inhib,dz,p_perm,q_bh4
EEG crudo,frontal,47,1.8481664110930436,1.696495647257742,0.3986998645332816,0.008999100089991,0.017998200179982
EEG crudo,cacc,47,1.51616907255753,1.5996945034349181,-0.4299412735215339,0.0044995500449955,0.017998200179982
EEG crudo,lh,47,1.3842265503346836,1.4262493034669375,-0.13070672235909644,0.3698630136986301,0.4931506849315068
EEG crudo,rh,47,1.2930860112583182,1.28195368205026,0.03664851336938833,0.8145185481451854,0.8145185481451854
