measure,direction,lag,bins,n,mean_init,mean_inhib,t,p_param,dz,p_perm,q_perm
TE,frontal->cacc,1,4,47,0.25098008919162745,0.24515439352251703,1.147407877466488,0.25714587660085897,0.16736664029126652,0.2756724327567243,0.2756724327567243
TE,cacc->frontal,1,4,47,0.26498130858156005,0.27212183550365293,-2.1268512719068116,0.038827649038194904,-0.31023314269397334,0.037196280371962806,0.07439256074392561
TE,frontal->cacc,1,8,47,1.1812166512153204,1.1692008682594124,1.622331206017688,0.11156728467898105,0.23664132757253908,0.11458854114588542,0.11458854114588542
TE,cacc->frontal,1,8,47,1.2082024453368045,1.2348265840996748,-2.6888234597759646,0.009953402791049833,-0.3922052110995606,0.007699230076992301,0.015398460153984602
TE,frontal->cacc,2,4,47,0.32668834169022193,0.31715714400188827,2.7608504830955796,0.008253524053722629,0.4027114322436948,0.0071992800719928,0.0143985601439856
TE,cacc->frontal,2,4,47,0.3255699807455088,0.3291829317881294,-1.2638520468827308,0.21265048415548088,-0.18435176807314618,0.2064793520647935,0.2064793520647935
TE,frontal->cacc,2,8,47,1.395911698841771,1.386394715160574,1.6357110250376894,0.10872531526153562,0.23859297476013497,0.10578942105789421,0.10578942105789421
TE,cacc->frontal,2,8,47,1.3771197294299116,1.405458650070763,-3.6018251450039034,0.0007720269750861195,-0.5253801941528972,0.0004999500049995,0.000999900009999
TE,frontal->cacc,4,4,47,0.3562939625506178,0.35371432929608837,0.6955422699648488,0.49021465154085375,0.10145526729484895,0.5008499150084992,0.946005399460054
TE,cacc->frontal,4,4,47,0.34475792560648494,0.34510656721482974,-0.07698177031945974,0.9389719122564848,-0.011228945273140868,0.946005399460054,0.946005399460054
TE,frontal->cacc,4,8,47,1.4639736169584041,1.457443722087122,1.119541399115643,0.26872102965022626,0.16330189666354428,0.2633736626337366,0.2633736626337366
TE,cacc->frontal,4,8,47,1.4345031266103738,1.454512637698343,-3.300743986523403,0.0018687874651052768,-0.48146299353096284,0.0015998400159984002,0.0031996800319968005
