variant,contrast,n,mean_init,mean_inhib,dz,dz_lo,dz_hi,p_perm,dz_r2adj,p_perm_r2adj,dNL_init,dNL_init_lo,dNL_init_hi,dNL_inhib,dNL_inhib_lo,dNL_inhib_hi,dz_dNL,dz_dNL_lo,dz_dNL_hi,p_perm_dNL,dz_surr,p_perm_surr,dz_epr,p_epr,dz_chi,p_chi,dz_r1,p_r1,dip_p_init,dip_p_inhib,corr_ais_r1,q_perm,q_r2adj,q_dNL
pub,AIS frontal,47,1.5879856865187285,1.550159073315853,0.3113692908422347,0.028742231681859864,0.6065064873180133,0.03519648035196481,0.4850579400343942,0.0015998400159984002,0.4376631210531385,0.3673183780163452,0.5114762400517344,0.3891268084771151,0.32504526573236286,0.45968558405014476,0.2424049335354529,-0.044482796317044826,0.5191769680260472,0.10628937106289371,-0.07919666498518019,0.5923407659234077,-0.1191187569208736,0.42085791420857915,0.2527116685069019,0.09259074092590741,-0.08010039020293394,0.6125387461253875,0.9625803083884834,0.7401597526270296,0.09635211237445582,0.07039296070392961,0.009599040095990403,0.2515748425157484
pub,AIS cACC,47,1.5029532887447228,1.5254840918504158,-0.37663745978053403,-0.6993932235288245,-0.0997736619080924,0.012198780121987801,-0.427737703641308,0.0057994200579942,0.31406560639764375,0.27678506838704797,0.3503389223864188,0.3170106182098895,0.2792877868787929,0.3533059065707119,-0.02780056330397771,-0.3322886390195132,0.2560690823983501,0.8448155184481552,-0.1969978435171636,0.1815818418158184,-0.13870178258005558,0.3571642835716428,-0.11327868873629328,0.45325467453254675,0.021984936472516755,0.8818118188181182,0.9669189182207402,0.8246632286260972,0.0962567107788702,0.054894510548945105,0.0173982601739826,0.8889111088891111
pub,AIS LH,47,1.3389368941773523,1.347547253432084,-0.06368902262771801,-0.4482188272863221,0.19231145324222526,0.6898310168983102,-0.12117194834461861,0.42085791420857915,0.2638672945842526,0.22775599507609837,0.30316648847896815,0.2605909810824321,0.2194589021248978,0.3056011001044403,0.02152081690890576,-0.3080472758348306,0.2800379824384085,0.8889111088891111,-0.10731352160339874,0.46015398460153983,0.08052764576202902,0.609039096090391,0.03299264169707901,0.8346165383461653,-0.21512221796371223,0.15098490150984903,0.9858684426519472,0.9029857226303297,0.24198714256451942,0.6898310168983102,0.42085791420857915,0.8889111088891111
pub,AIS RH,47,1.2695978617934764,1.2947722340734087,-0.19919412441477016,-0.5391524870783841,0.08344057291067518,0.17898210178982102,-0.27369254048476055,0.06999300069993,0.20420875703996091,0.1706324968312934,0.23824384417616135,0.24993078986911635,0.21415025303778457,0.28571721783940396,-0.40239099706873377,-0.7367691096134121,-0.11269971921543465,0.008799120087991202,0.18076306570460332,0.23347665233476653,0.20898294439106155,0.16448355164483552,-0.11413941206407088,0.45225477452254775,0.03663102417034876,0.8073192680731927,0.8038519808496096,0.9509986633745384,0.29721278786504635,0.2147785221477852,0.083991600839916,0.05279472052794721
pub,TE frontal->cACC,47,0.3892823357062671,0.38043362764251415,0.35892609537833414,0.07276147689968467,0.6852426562220311,0.0182981701829817,0.37450482834806653,0.017198280171982803,-0.12494610615030603,-0.1353749784169147,-0.1144418232767626,-0.12032644692148535,-0.1330366746060037,-0.1072234352475492,-0.11086776603767877,-0.3857588835287209,0.18265120446510083,0.45865413458654136,0.3240243422332444,0.030896910308969103,,,,,,,0.9821865898788906,0.7265716182673774,,0.054894510548945105,0.034396560343965606,0.687981201879812
pub,TE cACC->frontal,47,0.380245731681703,0.38818746893255796,-0.2113227404743485,-0.5233446230430289,0.07115061324481012,0.15758424157584242,-0.2841569475929143,0.055894410558944105,-0.18280999891876923,-0.21005668065603278,-0.1579389572449391,-0.1629269833797167,-0.18793834370528997,-0.14089465865770612,-0.22749766710499575,-0.500948248703367,0.05163870404610253,0.1257874212578742,0.16203978864024682,0.28147185281471854,,,,,,,0.9920893172871877,0.9479255618229698,,0.2147785221477852,0.08384161583841616,0.2515748425157484
cor,AIS frontal,47,0.891905214154069,0.8541891380012296,0.39651403899504795,0.11922548700169887,0.713148240272949,0.007799220077992201,0.43599679298087174,0.003999600039996,0.02184069049233085,0.014311200955708885,0.02955326768853948,0.01531576496059987,0.006763803958689766,0.023005001820403215,0.23896984022884116,-0.044206964398716776,0.5331625746427878,0.11068893110688931,0.344547281881143,0.023497650234976502,-0.2936848755999844,0.04939506049395061,0.34230672441772625,0.022497750224977502,0.27651894589373643,0.061193880611938804,0.42450391385212427,0.9127513156102528,0.8827428840917416,0.029697030296970302,0.023397660233976606,0.4820517948205179
cor,AIS cACC,47,0.9287587575578585,0.9442508867578094,-0.2531101326186317,-0.49707948200389945,0.02344597575395835,0.0827917208279172,-0.2605965595875683,0.08249175082491751,0.0045142343666292545,0.0002199938820117971,0.008918489550759114,0.005840144332294958,0.0008398465220250301,0.011154875046954423,-0.054821453959443794,-0.3228757626783482,0.2675470065025796,0.7079292070792921,-0.24568623336324916,0.10108989101089891,0.30695835731626436,0.0362963703629637,-0.1654371655933143,0.30626937306269375,-0.2815452220922555,0.05779422057794221,0.9256167340234221,0.9905950995643114,0.879623011319161,0.1655834416558344,0.16498350164983502,0.7079292070792921
cor,AIS LH,47,0.7635539418424385,0.7791440110828556,-0.2120603657727557,-0.44875686433943274,0.07787719284024505,0.16178382161783822,-0.22435327204607813,0.14188581141885812,0.007853748764454042,0.0009750624971674607,0.013914245137844467,0.010736928905201214,0.0050374886442552495,0.01644024658163008,-0.10878611307079035,-0.3643888541493174,0.20796155650367248,0.47225277472252775,-0.19941260689141485,0.17468253174682533,0.022989983293586515,0.8759124087591241,-0.06715617167761799,0.6507349265073493,-0.16991600816604444,0.26107389261073893,0.9722842320823204,0.7910458819516895,0.8667224499116154,0.19414058594140585,0.18262173782621735,0.5667033296670333
cor,AIS RH,47,0.7527994021603356,0.7591141727693193,-0.10025650933187877,-0.36009432577232864,0.21335785688826114,0.5048495150484952,-0.10063351124861014,0.5127487251274873,0.008206499716132127,0.0029071997884561104,0.013559082482186288,0.0025219123578510507,-0.004457800510109994,0.00893642589708987,0.21046081569332759,-0.0734455228217139,0.473098052937905,0.1606839316068393,-0.19682240691215344,0.19018098190180982,-0.10420029699570679,0.48135186481351866,0.05959012947292051,0.6893310668933107,-0.11353043488129023,0.44785521447855214,0.5116478061438672,0.937986695600229,0.8652938767696093,0.5048495150484952,0.5127487251274873,0.4820517948205179
cor,TE frontal->cACC,47,1.1803897039968596,1.169494503650319,0.21562899269238225,-0.07200649211953868,0.47043884685268156,0.14328567143285673,0.21415218970083122,0.1521847815218478,-0.021427811305353078,-0.0270318057051394,-0.015879333140629028,-0.0179729490559834,-0.022266929821357473,-0.013597991956171378,-0.150951835834522,-0.40773584706010507,0.14925901483455756,0.3083691630836916,0.29653478389318694,0.0392960703929607,,,,,,,0.8675991119115194,0.8234519233610194,,0.19414058594140585,0.18262173782621735,0.5667033296670333
cor,TE cACC->frontal,47,1.2082592681566393,1.2339123039410724,-0.3873628930331377,-0.6837080841226404,-0.1268005831265879,0.0098990100989901,-0.39366560286533664,0.007799220077992201,-0.01165044997195039,-0.016983622622171436,-0.006458996730914675,-0.006231782181291992,-0.016560229290818296,0.006375212340714163,-0.12310240553061674,-0.3451121304523882,0.19993536912159537,0.44595540445955406,-0.2832020413922838,0.05449455054494551,,,,,,,0.990279493811751,0.8447600861695888,,0.029697030296970302,0.023397660233976606,0.5667033296670333
